#Entropy	P318.871868	P2477463190.000000	P10616202800.000000	P37130030300.000000	P131632621000.000000	P506485527000.000000	P639214903000.000000	P782079315000.000000	P952433604000.000000	P1141842300000.000000	P1358868850000.000000	P1586897850000.000000	P1835548490000.000000	P2104786810000.000000	P2396120650000.000000	P2614561580000.000000	P2962072790000.000000	P3499668870000.000000	P4134904600000.000000	P4858271530000.000000	P5663806720000.000000	P6549142300000.000000	P7512178540000.000000	P8551043990000.000000	P9664062550000.000000	P10851977700000.000000	P12122947400000.000000	P13464435400000.000000	P14875306900000.000000	P16354524000000.000000
7250000.000000	199.946838	200.229722	201.159028	204.165922	214.248139	243.910303	251.495054	265.092972	269.484163	273.710357	277.957200	281.928209	285.823845	289.654629	293.441855	296.083979	300.001265	306.042180	312.413150	318.904371	325.406105	331.872242	338.275976	344.600090	350.909916	357.579054	364.179436	370.530210	376.864532	383.069652
7500000.000000	205.697636	205.986425	206.935130	209.969013	220.147346	250.191685	258.610308	272.345742	276.783320	281.055629	285.350071	289.366973	293.308806	297.186234	301.127542	304.078081	308.439208	314.538811	320.973773	327.532993	334.105702	340.645325	347.124751	353.835717	360.683847	367.419128	374.087496	380.506832	386.911169	393.236902
7750000.000000	211.463039	211.754279	212.711035	215.771807	226.046254	257.212401	265.725353	279.598394	284.082369	288.400803	292.742850	296.805610	300.879791	305.220526	309.499075	312.476184	316.877533	323.035381	329.534337	336.161560	342.805244	349.418354	356.511653	363.544902	370.457731	377.259155	383.995509	390.483406	396.957757	403.561500
8000000.000000	217.227911	217.521839	218.486647	221.574304	231.944862	264.251469	272.840186	286.850927	291.381309	295.745880	300.165425	304.713369	309.177211	313.554672	317.870539	320.874220	325.315760	331.531889	338.094841	344.790068	351.647373	358.948751	366.157553	373.254039	380.231565	387.099132	393.903475	400.621860	407.603329	414.474457
8250000.000000	222.991833	223.289104	224.261963	227.376505	237.843171	271.290309	279.954810	294.103342	298.680143	303.445272	308.375472	312.974225	317.474555	321.888746	326.241935	329.272188	333.753920	340.028335	346.655286	353.750512	361.171671	368.532917	375.803403	382.963126	390.005351	396.939062	404.131891	411.290224	418.419277	425.391106
8500000.000000	228.755452	229.056076	230.036987	233.178409	243.741180	278.328924	287.069223	301.516656	306.676675	311.632409	316.600132	321.235001	325.771824	330.222748	334.613262	337.670091	342.192016	348.524720	355.733938	363.216950	370.695918	378.117031	385.449203	392.672165	399.785354	407.360625	414.872954	422.088659	429.276202	436.307709
8750000.000000	234.518765	234.822754	235.811717	238.980016	249.638892	285.367311	294.183426	309.630536	314.827237	319.819456	324.824708	329.495698	334.069017	338.556678	342.984521	346.067928	350.695530	357.733833	365.144951	372.683335	380.220112	387.701096	395.094953	402.593492	410.388655	418.044812	425.613971	432.887050	440.133082	447.381475
9000000.000000	240.281775	240.589138	241.586153	244.781326	256.363915	292.405472	301.459435	317.744307	322.977699	328.006414	333.049200	337.756315	342.366136	346.890536	351.499167	354.934190	360.006723	367.092714	374.555908	382.149667	389.744255	397.285109	405.171358	413.168334	421.017528	428.728953	436.354944	443.755923	451.251588	458.780989
9250000.000000	246.044480	246.355229	247.360295	250.673123	263.142737	299.444378	309.462089	325.857970	331.128062	336.193281	341.273607	346.016852	350.735065	355.784101	360.756309	364.212934	369.318121	376.451537	383.966810	391.615945	399.268346	407.504509	415.693354	423.743129	431.646355	439.413047	447.095871	454.846432	462.797589	470.565395
9500000.000000	252.094021	252.457751	253.629883	257.380372	269.921291	307.314263	317.464552	333.971524	339.278325	344.380058	349.497929	354.746831	359.931967	365.010829	370.013388	373.491617	378.629458	385.810301	393.377658	401.185757	409.620107	417.975047	426.215303	434.317878	442.275137	450.105777	458.489029	466.530179	474.531048	482.349760
9750000.000000	258.772140	259.139001	260.316949	264.087359	276.699578	315.256579	325.466823	342.084969	347.428490	352.855399	358.579928	363.913982	369.128800	374.237491	379.270403	382.770237	387.940735	395.169009	403.059738	411.558265	420.040725	428.445538	436.737205	444.892581	453.152719	461.691838	470.123878	478.213884	486.264464	494.248924
10000000.000000	265.449991	265.819992	267.003756	270.794082	283.477599	323.198689	333.468902	350.221106	356.213331	361.962680	367.717674	373.081060	378.325564	383.464085	388.527354	392.048796	397.251951	404.974916	413.386160	421.930723	430.461293	438.915981	447.259060	455.942404	464.692301	473.278344	481.758683	489.925050	498.100212	506.371915
10529411.800000	279.590437	279.967118	281.163198	284.995688	297.830172	340.016594	350.463074	369.380531	375.436037	381.248263	387.067938	392.493450	397.800834	403.310762	408.957423	412.880181	418.669364	426.750907	435.253705	443.895764	452.756966	462.078837	471.262393	480.281979	489.128919	497.814333	506.911244	515.798750	524.634462	533.263700
11058823.500000	293.729683	294.113082	295.321478	299.208618	313.908508	357.663306	369.425276	388.539508	394.658333	400.591118	407.093985	413.149164	419.064937	424.854842	430.554733	434.515377	440.361783	448.526657	457.781477	467.313946	476.820400	486.231439	495.507060	505.005534	514.680835	524.167675	533.530179	542.590525	551.745802	560.908571
11588235.300000	309.027209	309.474264	310.871382	315.348468	330.293514	376.521487	388.386699	408.530473	415.368303	421.924305	428.482240	434.588717	440.556543	446.398645	452.358206	456.737574	463.196647	472.206842	481.676783	491.291294	500.959410	511.265523	521.411205	531.368148	541.126528	550.752705	560.928127	570.673072	580.354902	589.876474
